	observed_otus	shannon	simpson	chao1	ace	goods_coverage	PD_whole_tree
a1	804.0	7.23271758465	0.981905402527	912.655172414	903.981441226	0.996205142307	38.58375
a2	788.0	6.70404773449	0.969316294864	885.041666667	887.943997353	0.99624039517	37.13736
a3	803.0	6.94158896923	0.978482683894	905.031914894	894.820183672	0.996185510428	37.32925
a4	832.0	7.24013611279	0.980829577023	965.363636364	966.701531692	0.995520993625	38.32493
a5	833.0	7.17120788962	0.980800839238	992.0	959.288161847	0.995635944447	39.06312
a6	859.0	7.3740634984	0.984598258224	979.987012987	947.416140105	0.996240085627	39.24234
a7	823.0	7.44910748493	0.986429516319	909.603773585	920.854164804	0.996264146797	38.50172
a8	813.0	6.62483296882	0.965905677595	945.5	938.662910354	0.99560873861	39.25137
a9	745.0	6.18032627783	0.955361931858	954.011764706	910.96332749	0.994811683321	36.69476
a10	788.0	6.54944579881	0.967872487693	937.845360825	930.804505021	0.995304390806	37.4764
a11	776.0	6.42307386751	0.962559107685	963.804878049	925.025786331	0.995170407771	37.11859
a12	702.0	5.90016007554	0.950402448031	816.393939394	815.190818318	0.995855747063	34.1015
a13	762.0	6.53665659664	0.966997690108	887.282828283	893.907327415	0.995661843442	37.37153
a14	763.0	6.62970426112	0.968229184646	872.878787879	875.47822458	0.995938751989	35.76426
a15	791.0	6.91086575216	0.980107747887	929.494623656	915.439199701	0.995582020745	38.18996
a16	807.0	7.23642169289	0.983543906842	913.923076923	907.357307145	0.996158173486	37.02233
a17	801.0	7.31701563019	0.984478676038	869.785714286	867.412678825	0.997036061255	37.77537
a18	799.0	7.17812568631	0.980003300677	892.0	875.667960225	0.996596772423	36.52797
b1	780.0	7.25185014936	0.982574007985	892.835294118	885.127031547	0.996180269305	36.92808
b2	778.0	6.88634781064	0.974124204629	888.24137931	880.127323087	0.996185301059	37.0163
b3	782.0	7.17248923672	0.982454957392	903.129411765	889.64312561	0.996047973214	36.41511
b4	835.0	7.47051030015	0.985372416988	924.571428571	925.048082027	0.996347658932	38.9906
b5	797.0	7.30836462684	0.984706454928	894.923076923	888.512779358	0.996322924099	37.0935
b6	783.0	7.02617111645	0.978812084022	886.511111111	884.322459074	0.996240188814	36.48598
b7	790.0	7.34938282671	0.984010106835	917.88	891.221351719	0.996183625281	37.17086
b8	773.0	7.02200913681	0.980047180079	875.784090909	868.485509926	0.996295381576	36.09492
b9	752.0	6.76489298359	0.975130751903	892.411764706	877.182730414	0.995746432492	34.74291
b10	785.0	7.19219122727	0.981079544517	885.879120879	883.262329131	0.996266813066	36.02987
b11	778.0	7.03076380806	0.978791450739	870.142857143	870.682493973	0.996432393864	36.88027
b12	756.0	6.70323632052	0.965813146673	921.486486486	880.218391126	0.99569154775	34.93174
b13	802.0	7.39461700068	0.984879674713	926.213333333	893.356877567	0.996240085627	36.96272
b14	747.0	6.81906094778	0.975246095884	896.217391304	854.616438075	0.996048515449	34.80254
b15	679.0	6.13573618961	0.946228921104	810.261904762	807.948220206	0.995911198924	32.45773
b16	730.0	6.62656968893	0.961515465241	851.916666667	817.562452683	0.996350064491	34.02059
b17	741.0	7.09880750141	0.982808197968	815.447058824	814.009523607	0.996899182262	34.26515
b18	758.0	6.73850572921	0.975349924872	893.842696629	881.636153602	0.995718990121	34.72
