OTU_ID	D1	D2	D3	D4	D5	D6	H1	H2	H3	H4	H5	H6
OTU_681	266	3230	3155	1040	1134	1038	373	2208	2625	3053	561	1496
OTU_261	7580	1	75	4448	29	3709	81	2	3	25	1	22
OTU_731	804	182	1079	2009	386	1037	916	493	2048	1362	3846	1149
OTU_574	183	536	2	21	14	32	2188	2662	1256	1865	2641	3429
OTU_131	2029	3416	460	1237	1946	753	214	438	1243	391	57	39
OTU_729	422	2291	1503	1059	2122	732	114	163	2225	294	383	205
OTU_617	302	1245	2166	494	560	372	252	290	3841	540	298	304
OTU_552	1646	464	1047	714	920	1504	225	953	210	873	581	296
OTU_337	366	191	303	985	3144	687	514	305	105	115	1607	136
OTU_309	141	538	54	1	6110	224	0	3	0	17	25	4
OTU_442	227	13	624	347	135	218	273	737	322	573	2201	1174
OTU_201	72	333	1669	816	592	769	322	413	220	51	60	174
OTU_102	314	295	6	18	56	192	1607	1807	41	610	232	89
OTU_300	86	168	2288	342	201	1106	30	44	81	231	156	450
OTU_280	137	950	84	2543	159	308	39	25	55	43	26	7
OTU_666	22	48	141	25	705	42	466	939	157	512	621	681
OTU_291	73	587	647	144	258	211	118	256	942	617	86	243
OTU_727	255	508	266	150	296	206	351	523	362	1007	152	97
OTU_455	50	4	11	9	649	34	1812	1301	13	139	123	27
OTU_866	81	46	130	72	331	106	607	1061	128	1144	110	209
