OTU_ID	phylum	detail
OTU_731	Bacteroidetes	p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidales_S24-7_group;_g__norank_f__Bacteroidales_S24-7_group;_s__uncultured_Porphyromonadaceae_bacterium_g__norank_f__Bacteroidales_S24-7_group
OTU_729	Bacteroidetes	p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Prevotellaceae;_g__Prevotella_9;_s__uncultured_bacterium_g__Prevotella_9
OTU_617	Bacteroidetes	p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Prevotellaceae;_g__Prevotella_9;_s__uncultured_bacterium_g__Prevotella_9
OTU_309	Bacteroidetes	p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Prevotellaceae;_g__Alloprevotella;_s__unclassified_g__Alloprevotella
OTU_102	Bacteroidetes	p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Prevotellaceae;_g__Prevotellaceae_NK3B31_group;_s__uncultured_bacterium_g__Prevotellaceae_NK3B31_group
OTU_727	Bacteroidetes	p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Prevotellaceae;_g__Prevotellaceae_NK3B31_group;_s__uncultured_bacterium_g__Prevotellaceae_NK3B31_group
OTU_681	Firmicutes	p__Firmicutes;_c__Negativicutes;_o__Selenomonadales;_f__Veillonellaceae;_g__Megasphaera;_s__Megasphaera_elsdenii_DSM_20460
OTU_574	Firmicutes	p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Clostridiaceae_1;_g__Clostridium_sensu_stricto_1;_s__uncultured_bacterium_g__Clostridium_sensu_stricto_1
OTU_131	Firmicutes	p__Firmicutes;_c__Bacilli;_o__Lactobacillales;_f__Lactobacillaceae;_g__Lactobacillus;_s__Lactobacillus_amylovorus
OTU_552	Firmicutes	p__Firmicutes;_c__Negativicutes;_o__Selenomonadales;_f__Acidaminococcaceae;_g__Phascolarctobacterium;_s__unclassified_g__Phascolarctobacterium
OTU_337	Firmicutes	p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Lachnospiraceae;_g__[Eubacterium]_rectale_group;_s__uncultured_organism_g__[Eubacterium]_rectale_group
OTU_442	Firmicutes	p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Ruminococcaceae;_g__Ruminococcaceae_UCG-002;_s__uncultured_bacterium_g__Ruminococcaceae_UCG-002
OTU_201	Firmicutes	p__Firmicutes;_c__Negativicutes;_o__Selenomonadales;_f__Veillonellaceae;_g__norank_f__Veillonellaceae;_s__uncultured_rumen_bacterium_g__norank_f__Veillonellaceae
OTU_300	Firmicutes	p__Firmicutes;_c__Negativicutes;_o__Selenomonadales;_f__Veillonellaceae;_g__Selenomonas;_s__Selenomonas_bovis
OTU_280	Firmicutes	p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Ruminococcaceae;_g__Faecalibacterium;_s__unclassified_g__Faecalibacterium
OTU_666	Firmicutes	p__Firmicutes;_c__Bacilli;_o__Lactobacillales;_f__Streptococcaceae;_g__Streptococcus;_s__Streptococcus_gallolyticus_subsp._macedonicus
OTU_291	Firmicutes	p__Firmicutes;_c__Negativicutes;_o__Selenomonadales;_f__Veillonellaceae;_g__Megasphaera;_s__unclassified_g__Megasphaera
OTU_455	Firmicutes	p__Firmicutes;_c__Bacilli;_o__Lactobacillales;_f__Lactobacillaceae;_g__Lactobacillus;_s__Lactobacillus_johnsonii
OTU_866	Firmicutes	p__Firmicutes;_c__Bacilli;_o__Lactobacillales;_f__Lactobacillaceae;_g__Lactobacillus;_s__Lactobacillus_reuteri
OTU_261	Proteobacteria	p__Proteobacteria;_c__Gammaproteobacteria;_o__Enterobacteriales;_f__Enterobacteriaceae;_g__Escherichia-Shigella;_s__Escherichia_coli_g__Escherichia-Shigella
