Genus	H1	H6	H2	H3	H4	H5	D6	D4	D5	D2	D3	D1
Prevotella_9	0.0151	0.0225	0.0208	0.2034	0.0355	0.026	0.043	0.0598	0.0941	0.1443	0.1689	0.0264
Megasphaera	0.0163	0.063	0.0839	0.1187	0.1214	0.0212	0.0416	0.0393	0.0468	0.1267	0.1289	0.0114
Lactobacillus	0.088	0.0092	0.0929	0.0455	0.0562	0.0103	0.0331	0.0485	0.1007	0.125	0.0216	0.1103
Escherichia-Shigella	0.0027	0.0007	0.0001	0.0001	0.0008	0	0.1216	0.1453	0.0009	0	0.0024	0.2489
Clostridium_sensu_stricto_1	0.0797	0.1169	0.0885	0.044	0.0651	0.1004	0.0019	0.0008	0.0005	0.0177	0.0002	0.007
Prevotellaceae_NK3B31_group	0.1121	0.0245	0.0905	0.0281	0.0658	0.0175	0.0257	0.0105	0.018	0.0434	0.0358	0.0427
Alloprevotella	0.0108	0.0015	0.0074	0.0033	0.0077	0.0031	0.0753	0.031	0.2218	0.0687	0.0187	0.0372
Phascolarctobacterium	0.0074	0.0094	0.0317	0.0068	0.0288	0.019	0.0494	0.0236	0.0306	0.0159	0.0342	0.0535
Christensenellaceae_R-7_group	0.0407	0.1004	0.0269	0.0539	0.0246	0.0255	0.0041	0.0041	0.0033	0.0011	0.0062	0.0107
Ruminococcaceae_UCG-002	0.0179	0.0462	0.0344	0.0151	0.0301	0.0838	0.0111	0.0128	0.0055	0.0007	0.023	0.0109
[Eubacterium]_rectale_group	0.0168	0.0044	0.01	0.0034	0.0037	0.0523	0.0225	0.0326	0.1033	0.0062	0.0099	0.0121
Ruminococcaceae_NK4A214_group	0.029	0.034	0.0279	0.0428	0.0149	0.0279	0.0048	0.0053	0.0089	0.0026	0.0078	0.011
Prevotella_2	0.0159	0.033	0.0135	0.0023	0.0094	0.0127	0.0273	0.0374	0.0045	0.0236	0.0125	0.0133
Ruminococcaceae_UCG-014	0.0586	0.0141	0.0094	0.0122	0.0306	0.0104	0.0064	0.0145	0.0121	0.022	0.0049	0.0081
