,A-low-1-1,A-low-1-2,A-low-1-3,A-low-2-1,A-low-2-2,A-low-2-3,A-low-3-1,A-low-3-2,A-low-3-3,A-low-4-1,A-low-4-2,A-low-4-3,A-high-1-1,A-high-1-2,A-high-1-3,A-high-2-1,A-high-2-2,A-high-2-3,A-high-3-1,A-high-3-2,A-high-3-3,A-high-4-1,A-high-4-2,A-high-4-3,B-low-1-1,B-low-1-2,B-low-1-3,B-low-2-1,B-low-2-2,B-low-2-3,B-low-3-1,B-low-3-2,B-low-3-3,B-low-4-1,B-low-4-2,B-low-4-3,B-high-1-1,B-high-1-2,B-high-1-3,B-high-2-1,B-high-2-2,B-high-2-3,B-high-3-1,B-high-3-2,B-high-3-3,B-high-4-1,B-high-4-2,B-high-4-3,C-low-1-1,C-low-1-2,C-low-1-3,C-low-2-1,C-low-2-2,C-low-2-3,C-low-3-1,C-low-3-2,C-low-3-3,C-low-4-1,C-low-4-2,C-low-4-3,C-high-1-1,C-high-1-2,C-high-1-3,C-high-2-1,C-high-2-2,C-high-2-3,C-high-3-1,C-high-3-2,C-high-3-3,C-high-4-1,C-high-4-2,C-high-4-3,D-low-1-1,D-low-1-2,D-low-1-3,D-low-2-1,D-low-2-2,D-low-2-3,D-low-3-1,D-low-3-2,D-low-3-3,D-low-4-1,D-low-4-2,D-low-4-3,D-high-1-1,D-high-1-2,D-high-1-3,D-high-2-1,D-high-2-2,D-high-2-3,D-high-3-1,D-high-3-2,D-high-3-3,D-high-4-1,D-high-4-2,D-high-4-3
A-low-1-1,0,0.173776324366478,0.169022439553432,0.179891352735652,0.195987628975531,0.220619477919147,0.200179747732266,0.226950534206171,0.21495869604451,0.269774500854427,0.265150485420458,0.254368622938691,0.328890723249796,0.229888752943039,0.230687783168788,0.220446144032291,0.225955986329514,0.211501134944712,0.232222476352896,0.242982443934395,0.409914839515855,0.27236700345772,0.275888556956339,0.263313759244458,0.479747994875333,0.471494557095997,0.471039990751815,0.507684110998652,0.518402238102602,0.503796013060644,0.529572701081046,0.538604162979832,0.521751146690396,0.582747017900586,0.588105408318234,0.5674272442969,0.743456257706048,0.595732476920957,0.703009230675906,0.666688327106406,0.632075041353779,0.601631608381422,0.618570631141211,0.592837678585405,0.583330301976013,0.896837899495463,0.84651741557914,0.847641177729526,0.746200001921126,0.616301609323761,0.554938354765134,0.624728247399827,0.56183091063922,0.52864312723573,0.584323928310859,0.58892573142299,0.584258800273032,0.576372062302855,0.552193814701076,0.594588013674113,0.641148405085348,0.661005268598006,0.619066613125837,0.630496148173832,0.653011004642786,0.664548083115682,0.607896233485097,0.600441199065265,0.576955534638255,0.622610037855642,0.584885153846908,0.585771180570966,0.883182811264619,0.845178111558307,0.757974480190747,0.756311029347153,0.845977319595584,0.802095175973304,0.811342850094384,0.758342445070501,0.836318894455535,0.73005886411983,0.826596239387099,0.797104520555896,0.838178174087649,0.775777976414772,0.746674254545688,0.750002280798562,0.763592887573714,0.677317837245499,0.867907219142276,0.781655585452741,0.81884059110891,0.878861742504408,0.840834826000606,0.901764107587545
A-low-1-2,0.173776324366478,0,0.197197838038979,0.168720218624673,0.189526905043568,0.199487887693854,0.183066854553226,0.210723251717075,0.188792742101484,0.24976685925054,0.243781446256606,0.240259184441947,0.345959486993758,0.275629929681126,0.268888287504157,0.251041033108274,0.253893140956525,0.235095655425063,0.243004031926542,0.255729872162182,0.432602220947969,0.292374993428115,0.288398730629521,0.279864136642652,0.482859260838099,0.478883953874194,0.477327535700377,0.516866774318634,0.526050896729856,0.513043672604114,0.537696855915619,0.543444322976732,0.529486453073516,0.589898660852505,0.592923564749039,0.574103821918612,0.746934919217233,0.600140176011677,0.705645148701339,0.669864715032798,0.638384449868025,0.604180977656794,0.619737488432024,0.593054154238994,0.587587012013451,0.897788606378262,0.846431092915736,0.848916179474385,0.74591922786519,0.614378566256005,0.551157006220827,0.625657426105939,0.562284476511833,0.533634361248069,0.585944100133445,0.595645412902039,0.587283376952882,0.580931183286443,0.555392048441765,0.599190351766751,0.648451571929346,0.665002550479941,0.62539750931336,0.633607691529018,0.657440059225984,0.667399902506609,0.61357853851879,0.606707017959991,0.580391028820034,0.629221918912234,0.589012070528598,0.590178940481171,0.884630407029159,0.84524292851311,0.759832644850378,0.755122782930333,0.845502021151847,0.800496605913861,0.811148359320516,0.760438222685925,0.837204944509052,0.727142235476162,0.826293789688446,0.795635458618291,0.836082531381055,0.773531131149722,0.746004346372905,0.749505252744598,0.764197462390531,0.675006041155498,0.867216018825475,0.777939521210441,0.819315620518493,0.878364849149476,0.839797585811775,0.901202573842619
A-low-1-3,0.169022439553432,0.197197838038979,0,0.209535177718622,0.218220834656621,0.238401783019366,0.21443988147884,0.196333482442517,0.228441054914337,0.269190964540158,0.26910436085593,0.258690003444688,0.353521670417827,0.233648121712532,0.249096677492083,0.236824091161851,0.231530659133596,0.227922017451948,0.231142226638712,0.236694455075157,0.397815202191166,0.263983969586901,0.277811868841843,0.252251242780616,0.4933814446349,0.48640306803947,0.487396198843545,0.516240004343007,0.532511542366745,0.515722997978891,0.5431633631559,0.55323179096484,0.533872466340621,0.596121613724465,0.600032057031807,0.579894239073625,0.750197341279252,0.604353624242808,0.708734963730568,0.672630223960901,0.6422302941583,0.60990662808896,0.624404482265912,0.600227060938648,0.592902098342698,0.899776462439036,0.850730631645677,0.851292764845473,0.750175717492546,0.622783419873606,0.559172844721683,0.625290272236092,0.559626942737743,0.53216512292366,0.583157102591601,0.589184921606939,0.584928285651313,0.576609721626496,0.550271016930921,0.59698588471426,0.642574297293828,0.668286442371551,0.627450087609144,0.633045564032573,0.657677513841963,0.668653285941759,0.61182812180177,0.602623271623561,0.582140989491383,0.625980734444662,0.592555320494225,0.589854538428409,0.888648942476945,0.848246017920658,0.754971162831179,0.759659907717081,0.851076407355564,0.803845328707373,0.814432416514674,0.755036212898302,0.840078678409313,0.731225495482171,0.829361894960683,0.799178607064961,0.841829455577176,0.780401950464683,0.751340918917807,0.752875539766792,0.764737670208515,0.680061469564686,0.870867406852511,0.783967357647414,0.820158400303114,0.882577781830993,0.845048045992603,0.903427822741497
A-low-2-1,0.179891352735652,0.168720218624673,0.209535177718622,0,0.133933238534914,0.160229013169257,0.166602785064401,0.205603070599509,0.185638270712166,0.263811303381286,0.261067133480469,0.249593640862713,0.34481475558549,0.270962789840192,0.277639333915839,0.255319530508687,0.264653812982591,0.236996940711247,0.242291061531391,0.249096901893126,0.415467920724271,0.309249605795369,0.280858073244121,0.29622076887337,0.487137486365194,0.476075256467602,0.476960753170662,0.518811858673819,0.525446109232105,0.511682664075666,0.53264111240918,0.541802390760086,0.52112494372083,0.590417769332314,0.591432894064227,0.574212294858478,0.745141690855765,0.59303178465182,0.701345682571431,0.678183401515807,0.643915729005995,0.616777892236598,0.624296430522873,0.597245626467142,0.593226728667616,0.896729977050015,0.846344753799302,0.848376081759221,0.754216291977895,0.619715478581419,0.559065045952153,0.626824283369191,0.568291213990496,0.533115897661385,0.585771508644293,0.602581293400668,0.583675110833738,0.590308890884139,0.557531002904803,0.615524950209846,0.660745743104663,0.678593207478082,0.625959743367719,0.634817892494062,0.663770649649763,0.664547845013424,0.612930583803311,0.60908404730324,0.579462362022983,0.630756080711086,0.600788000553406,0.601047430686245,0.888541124340211,0.849585765964529,0.762447023367615,0.757888549134463,0.850925167094157,0.807389137894548,0.813438689768988,0.761259205915056,0.838890300408313,0.732306136392702,0.830550232890901,0.802398147547187,0.840122905294298,0.782562452647753,0.752767503779915,0.761670038122965,0.775562718209035,0.69060581423396,0.870672970633717,0.785264027260894,0.824220499538522,0.882167650125495,0.844010913675151,0.902887630713784
A-low-2-2,0.195987628975531,0.189526905043568,0.218220834656621,0.133933238534914,0,0.174186257592772,0.184644187199102,0.220943293123041,0.207503804089078,0.286649349656819,0.278351849420496,0.270897673454717,0.353024670493338,0.279021873383805,0.283883066678378,0.268412796324429,0.276082960354284,0.252682960883702,0.26214695783194,0.265560618088655,0.417671764681796,0.324935551270673,0.292958117369863,0.30994089916201,0.502391513441632,0.480742012436768,0.488821913707184,0.52164235480702,0.531193155442679,0.521643067625694,0.538107424409105,0.549860992296118,0.530372092848301,0.599837687823171,0.598173972475029,0.58149302354608,0.749203650883259,0.597482298550139,0.70545038729918,0.68416759430957,0.651283020774518,0.624382851514433,0.626089709899438,0.601415381818672,0.600766801191004,0.898760877290031,0.849563829318667,0.851141468657862,0.760611424012954,0.630367174620471,0.568507112023551,0.639096510416856,0.576911886667654,0.541044883502321,0.596250540459304,0.611979917908298,0.591626590193021,0.601133001383864,0.566368093721015,0.622481752138395,0.66528303229007,0.684469778869498,0.631404064410856,0.645188540740167,0.670295843296607,0.672023537417888,0.624036268555062,0.620794458432922,0.584690614378345,0.640024821357049,0.610164539206368,0.610467407780167,0.891911902465317,0.853410053808271,0.76186356127121,0.761626331551976,0.85336670565215,0.810586622057722,0.81570732653183,0.764521736585672,0.841482825963424,0.737577880578642,0.83301319863762,0.805704016805809,0.843255612442273,0.786343773578044,0.755943354217477,0.765494010945434,0.774698264436888,0.696288205231122,0.874713263636165,0.786603596294276,0.826294656758499,0.886099777838348,0.847899975589934,0.905307451203393
A-low-2-3,0.220619477919147,0.199487887693854,0.238401783019366,0.160229013169257,0.174186257592772,0,0.160855108006779,0.21975494480062,0.184708846522091,0.274722216657947,0.263443519908656,0.259402986817215,0.370655986648126,0.28701630171139,0.308860801711047,0.285979336356166,0.287254471092835,0.267267722868905,0.270163507537428,0.277703595664038,0.430419501149202,0.32629716418591,0.302659667298763,0.313722027465381,0.503082907995697,0.490464736671897,0.491047806951161,0.532704482222204,0.536875767466472,0.520066181171371,0.536746082337255,0.549061602515462,0.531798028633728,0.596898871411354,0.600528620989067,0.582767683842945,0.745659735229396,0.60223560832601,0.705666297742269,0.682438992262779,0.64903576794092,0.627710323366266,0.628141882983416,0.602041851470913,0.598108950436855,0.898933619418639,0.849347683644921,0.850687627302628,0.760330300031552,0.634320952445021,0.582961674050436,0.638685939731299,0.583307997472817,0.55426845028415,0.600571907527178,0.619455688819485,0.596250502395856,0.603898983032389,0.5722235399801,0.623972384972946,0.669625650160223,0.688920113662742,0.639657579688923,0.648407765428031,0.675178534108869,0.674011417088264,0.624360008906184,0.621140293133152,0.600052981322783,0.642163609082136,0.61360011529446,0.613556973637059,0.893229365961822,0.854101244793098,0.77193187594391,0.765255795289094,0.854468479889396,0.811234642316176,0.819574393734694,0.770182231218492,0.844226607472176,0.739824849228038,0.836297051656011,0.807950883311282,0.844919146837782,0.789519363988766,0.762792654099809,0.770312103734069,0.782649080627147,0.700522722303172,0.874432197047218,0.791594243975163,0.829189405146893,0.886985300788599,0.848224017066235,0.906279655098086
A-low-3-1,0.200179747732266,0.183066854553226,0.21443988147884,0.166602785064401,0.184644187199102,0.160855108006779,0,0.181079777434051,0.139335034149279,0.222564207026929,0.21392124712025,0.208303506979243,0.35916166733818,0.291187089716218,0.30544711982121,0.278590183366869,0.277142620953578,0.261887924891354,0.257956021580481,0.266318015683375,0.421517997922168,0.297517496941536,0.272562330365871,0.278633476515297,0.486748429849547,0.480785032818053,0.478731930684972,0.525293570595706,0.531798541977732,0.509392028081427,0.535276843179803,0.538496294677751,0.520778917024323,0.580219040218896,0.581234551315715,0.566282112092665,0.747237142854528,0.602927142036637,0.706595868308573,0.677945378520684,0.641819425253405,0.616885870158001,0.623302698403506,0.594415178510686,0.588321461439685,0.893640399613719,0.842174432692644,0.844854045048703,0.750888727190722,0.625505793514088,0.571078311472917,0.636374147497281,0.573736014201029,0.544329808084715,0.595948266513502,0.605908618143708,0.591928991726758,0.587953146553948,0.558244043258342,0.606190128603313,0.65929744781779,0.676626024186739,0.630604459401218,0.645447916515785,0.666579525715128,0.669258061189522,0.614939913925396,0.617834844397796,0.586764997476037,0.626845103861527,0.591669635884176,0.594781245962553,0.88776347131516,0.850255412730863,0.767135618133172,0.760524304429098,0.850147219913543,0.806567807309726,0.812444670756874,0.767503187886707,0.839322205888205,0.732500557444904,0.828454366319395,0.800021390221606,0.841483910649563,0.779559083877077,0.756483598980986,0.759617041730979,0.775346361353924,0.688747522649057,0.872077181682957,0.78619288137233,0.826618527083212,0.882383207835062,0.841137154370108,0.902412515451895
A-low-3-2,0.226950534206171,0.210723251717075,0.196333482442517,0.205603070599509,0.220943293123041,0.21975494480062,0.181079777434051,0,0.1835208527321,0.236370569901887,0.2374512712138,0.236565105981932,0.381437995945188,0.290344173660022,0.319944808375854,0.296782921638883,0.288788131631118,0.269623397434236,0.256853929255448,0.260656900077951,0.406522909188374,0.297776672184972,0.286260570520199,0.28353845400123,0.500295703369458,0.49225854046917,0.494980282990841,0.535664627735521,0.546793919187133,0.518186283896793,0.548608267377333,0.550012676754171,0.536379273568801,0.594047651341746,0.593161220326299,0.580262014760557,0.749613867892321,0.608329067043768,0.710787108217946,0.682893166338977,0.647502241860857,0.622978829721842,0.620191207232171,0.59614373400141,0.59635946866009,0.895152785510413,0.839560209375012,0.844703258999756,0.751299042688236,0.627623331341453,0.573865841003139,0.636309521086835,0.564834334736134,0.552626819448819,0.591951398982255,0.603359073215496,0.594284362441496,0.585490467904396,0.557747140723942,0.608545762059101,0.656337973167905,0.678139159185567,0.635833663950393,0.639700754051594,0.666860616245901,0.670835531222972,0.617748503213859,0.617964602951352,0.588212813658551,0.632225345988033,0.599794115094519,0.595991242058816,0.886488622522415,0.847792373430744,0.760826605369652,0.759379252961656,0.849801675935397,0.804083214545708,0.813957538151532,0.754626002494359,0.83830679545261,0.730448056060235,0.829059460352024,0.798811425718281,0.840749406742218,0.781136434992313,0.754798308236446,0.762836447106938,0.774957601873645,0.692788029755298,0.871472393999243,0.786214710230926,0.822016443638015,0.882145840772813,0.844486144006787,0.902758140842948
A-low-3-3,0.21495869604451,0.188792742101484,0.228441054914337,0.185638270712166,0.207503804089078,0.184708846522091,0.139335034149279,0.1835208527321,0,0.196571539974477,0.195101759496053,0.190866930882694,0.370007606568964,0.297668986026919,0.314391992938754,0.289284900845118,0.286757012428027,0.273555277948539,0.263875894553763,0.26955832576506,0.433552486179813,0.2923319978537,0.280534531245216,0.277401678943975,0.492733130190853,0.482016537929697,0.474734802252512,0.530889605585598,0.537113634267801,0.509586299513085,0.537458991994323,0.541218432669812,0.524754375345934,0.585210025119118,0.586916807874588,0.572439822822416,0.753222099137042,0.60664336291446,0.710031030470229,0.682201588293148,0.642964857133348,0.62019131237579,0.629740870645794,0.599730312259019,0.591670422420202,0.895563333669369,0.844680670287278,0.845956053829112,0.74693436028589,0.624857258091116,0.573087530971408,0.634926385504415,0.572655521004691,0.546036323796244,0.592059077079015,0.608069127624565,0.59259847359058,0.586311037169436,0.554095631595627,0.606989791120604,0.658692597518438,0.674724807403547,0.630388263352856,0.647846220036618,0.668415843848008,0.667053898748157,0.612886906722705,0.617985586627543,0.589962622329327,0.628767629589891,0.593527497026304,0.594370248626522,0.887914332968181,0.850082348416336,0.76929616698691,0.76182030811861,0.851076168101067,0.806977966581875,0.81562060241469,0.768777878827142,0.839754216614653,0.732975707395071,0.831803082474904,0.801749482071216,0.841678169496301,0.782043852586349,0.757045151275108,0.760459427321448,0.777722924684459,0.687947701815142,0.873179056142439,0.787942673993013,0.825948624423744,0.882901717572867,0.841850000468195,0.903535710219473
A-low-4-1,0.269774500854427,0.24976685925054,0.269190964540158,0.263811303381286,0.286649349656819,0.274722216657947,0.222564207026929,0.236370569901887,0.196571539974477,0,0.139011227564923,0.150375934635228,0.417758565831178,0.347255812170845,0.362618309656999,0.34088184537076,0.332866102968766,0.322710858397547,0.291057485877933,0.295162624712904,0.45457642722938,0.259079442326402,0.26422165694607,0.257285990848966,0.500814560651197,0.507901737641549,0.49394306296726,0.547008183352048,0.557358653045658,0.519439575019522,0.549580476152624,0.547419977219366,0.535060790976234,0.588018996648042,0.585836819881152,0.576912682709454,0.756074246611182,0.619499641448057,0.715173482096758,0.684794687779431,0.645752022470629,0.627451555738034,0.630562527258908,0.600637934341086,0.592708075905324,0.894137435252656,0.84241220333204,0.843730810254998,0.742980692001663,0.629676033030674,0.582940528962799,0.643526129630748,0.578965440604199,0.555954431208119,0.593593418862925,0.602991606824394,0.5977628548875,0.573282501836057,0.547116785943405,0.593874930383709,0.652859063975727,0.664483445252503,0.629372965145323,0.650698612837538,0.668416189227155,0.670576583022163,0.608458045596841,0.615803981552647,0.594586554200149,0.625052212185396,0.579030061950983,0.584820813883351,0.88644529717201,0.848570208471421,0.769512309551738,0.761388457491678,0.848807776073783,0.805919503322134,0.814130175505504,0.768454379630613,0.838242017629144,0.729756802866519,0.828324911597882,0.798076911696863,0.839777017312852,0.780272291902006,0.755770793717566,0.754625892632863,0.774547299103825,0.681574212038751,0.870953745957572,0.786300724734273,0.824976506469636,0.880806350067345,0.838847115565232,0.901332147754669
