Control	Treat
OTU_2	OTU_2
OTU_3	OTU_3
OTU_4	OTU_4
OTU_5	OTU_5
OTU_7	OTU_7
OTU_8	OTU_8
OTU_9	OTU_9
OTU_10	OTU_10
OTU_11	OTU_11
OTU_12	OTU_12
OTU_13	OTU_13
OTU_14	OTU_14
OTU_15	OTU_15
OTU_16	OTU_16
OTU_17	OTU_17
OTU_18	OTU_18
OTU_19	OTU_19
OTU_20	OTU_20
OTU_21	OTU_21
OTU_22	OTU_22
OTU_23	OTU_23
OTU_24	OTU_24
OTU_25	OTU_25
OTU_26	OTU_26
OTU_27	OTU_27
OTU_28	OTU_28
OTU_29	OTU_29
OTU_30	OTU_30
OTU_31	OTU_31
OTU_32	OTU_32
OTU_33	OTU_33
OTU_34	OTU_34
OTU_35	OTU_35
OTU_36	OTU_36
OTU_37	OTU_37
OTU_38	OTU_38
OTU_39	OTU_39
OTU_40	OTU_40
OTU_41	OTU_41
OTU_42	OTU_42
OTU_43	OTU_43
OTU_44	OTU_44
OTU_45	OTU_45
OTU_46	OTU_46
OTU_47	OTU_47
OTU_48	OTU_48
OTU_49	OTU_49
OTU_50	OTU_50
OTU_51	OTU_51
OTU_52	OTU_52
OTU_53	OTU_53
OTU_54	OTU_54
OTU_55	OTU_55
OTU_56	OTU_56
OTU_57	OTU_57
OTU_58	OTU_58
OTU_59	OTU_59
OTU_60	OTU_60
OTU_61	OTU_61
OTU_62	OTU_62
OTU_63	OTU_63
OTU_64	OTU_64
OTU_65	OTU_65
OTU_66	OTU_66
OTU_67	OTU_67
OTU_68	OTU_68
OTU_69	OTU_69
OTU_70	OTU_70
OTU_71	OTU_71
OTU_72	OTU_72
OTU_73	OTU_73
OTU_74	OTU_74
OTU_75	OTU_75
OTU_76	OTU_76
OTU_77	OTU_77
OTU_78	OTU_78
OTU_79	OTU_79
OTU_80	OTU_80
OTU_81	OTU_81
OTU_82	OTU_82
OTU_83	OTU_83
OTU_84	OTU_84
OTU_85	OTU_85
OTU_87	OTU_86
OTU_88	OTU_87
OTU_89	OTU_88
OTU_90	OTU_89
OTU_91	OTU_90
OTU_92	OTU_91
OTU_93	OTU_92
OTU_94	OTU_93
OTU_95	OTU_94
OTU_96	OTU_95
OTU_97	OTU_96
OTU_98	OTU_97
OTU_99	OTU_98
OTU_100	OTU_99
OTU_101	OTU_100
OTU_102	OTU_101
OTU_103	OTU_102
OTU_104	OTU_103
OTU_105	OTU_104
OTU_106	OTU_105
OTU_107	OTU_106
OTU_108	OTU_107
OTU_109	OTU_108
OTU_110	OTU_109
OTU_111	OTU_110
OTU_112	OTU_111
OTU_113	OTU_112
OTU_114	OTU_113
OTU_115	OTU_114
OTU_116	OTU_115
OTU_117	OTU_116
OTU_118	OTU_117
OTU_119	OTU_118
OTU_120	OTU_119
OTU_121	OTU_120
OTU_122	OTU_121
OTU_123	OTU_122
OTU_124	OTU_123
OTU_125	OTU_124
OTU_126	OTU_125
OTU_127	OTU_126
OTU_128	OTU_127
OTU_129	OTU_128
OTU_130	OTU_129
OTU_131	OTU_131
OTU_132	OTU_132
OTU_133	OTU_133
OTU_134	OTU_134
OTU_135	OTU_135
OTU_136	OTU_136
OTU_137	OTU_137
OTU_138	OTU_138
OTU_139	OTU_139
OTU_140	OTU_140
OTU_141	OTU_141
OTU_142	OTU_142
OTU_143	OTU_143
OTU_144	OTU_144
OTU_145	OTU_145
OTU_146	OTU_146
OTU_147	OTU_147
OTU_148	OTU_148
OTU_149	OTU_149
OTU_150	OTU_150
OTU_151	OTU_151
OTU_152	OTU_152
OTU_153	OTU_153
OTU_154	OTU_154
OTU_155	OTU_155
OTU_156	OTU_156
OTU_157	OTU_157
OTU_158	OTU_158
OTU_160	OTU_160
OTU_161	OTU_161
OTU_162	OTU_162
OTU_163	OTU_163
OTU_164	OTU_164
OTU_165	OTU_165
OTU_166	OTU_166
OTU_167	OTU_167
OTU_168	OTU_168
OTU_169	OTU_169
OTU_170	OTU_170
OTU_171	OTU_171
OTU_172	OTU_172
OTU_173	OTU_173
OTU_174	OTU_174
OTU_175	OTU_175
OTU_176	OTU_176
OTU_177	OTU_177
OTU_178	OTU_178
OTU_180	OTU_179
OTU_181	OTU_180
OTU_182	OTU_181
OTU_183	OTU_182
OTU_184	OTU_183
OTU_185	OTU_184
OTU_186	OTU_185
OTU_187	OTU_186
OTU_188	OTU_187
OTU_189	OTU_188
OTU_190	OTU_189
OTU_191	OTU_190
OTU_192	OTU_191
